image_id,banana_id,day_number,estimated_days_left
Banana001/banana001_day01.jpeg,Banana001,1,11,
Banana001/banana001_day02.jpeg,Banana001,2,10,
Banana001/banana001_day03.jpeg,Banana001,3,9,
Banana001/banana001_day04.jpeg,Banana001,4,8,
Banana001/banana001_day05.jpeg,Banana001,5,7,
Banana001/banana001_day06.jpeg,Banana001,6,6,
Banana001/banana001_day07.jpeg,Banana001,7,5,
Banana001/banana001_day08.jpeg,Banana001,8,4,
Banana001/banana001_day09.jpeg,Banana001,9,3,
Banana001/banana001_day10.jpeg,Banana001,10,2,
Banana001/banana001_day11.jpg,Banana001,11,1,
Banana001/banana001_day12.jpg,Banana001,12,0,
Banana001/banana001_day13.jpg,Banana001,13,0,
Banana001/banana001_day14.jpg,Banana001,14,0,
Banana001/banana001_day15.jpg,Banana001,15,0,
Banana001/banana001_day16.jpg,Banana001,16,0,
Banana001/banana001_day17.jpg,Banana001,17,0,
Banana001/banana001_day18.jpg,Banana001,18,0,
Banana002/banana002_day01.jpeg,Banana002,1,10,
Banana002/banana002_day02.jpeg,Banana002,2,9,
Banana002/banana002_day03.jpeg,Banana002,3,8,
Banana002/banana002_day04.jpeg,Banana002,4,7,
Banana002/banana002_day05.jpeg,Banana002,5,6,
Banana002/banana002_day06.jpeg,Banana002,6,5,
Banana002/banana002_day07.jpeg,Banana002,7,4,
Banana002/banana002_day08.jpeg,Banana002,8,3,
Banana002/banana002_day09.jpeg,Banana002,9,2,
Banana002/banana002_day10.jpeg,Banana002,10,1,
Banana002/banana002_day11.jpg,Banana002,11,0,
Banana002/banana002_day12.jpg,Banana002,12,0,
Banana002/banana002_day13.jpg,Banana002,13,0,
Banana002/banana002_day14.jpg,Banana002,14,0,
Banana002/banana002_day15.jpg,Banana002,15,0,
Banana002/banana002_day16.jpg,Banana002,16,0,
Banana002/banana002_day17.jpg,Banana002,17,0,
Banana002/banana002_day18.jpg,Banana002,18,0,
Banana003/banana003_day01.jpeg,Banana003,1,11,
Banana003/banana003_day02.jpeg,Banana003,2,10,
Banana003/banana003_day03.jpeg,Banana003,3,9,
